ID,duration of routing servers update (in ms)
2022-04-08T00:02:05Z,84231
2022-04-08T00:07:04Z,83254
2022-04-08T00:12:03Z,82939
2022-04-08T00:17:04Z,83993
2022-04-08T00:22:05Z,84775
2022-04-08T00:27:06Z,85558
2022-04-08T00:32:05Z,84423
2022-04-08T00:37:05Z,84090
2022-04-08T00:42:05Z,84274
2022-04-08T00:47:05Z,84601
2022-04-08T00:52:05Z,84639
2022-04-08T00:57:05Z,84759
2022-04-08T01:02:12Z,91519
2022-04-08T01:07:06Z,85219
2022-04-08T01:12:06Z,85326
2022-04-08T01:17:09Z,88373
2022-04-08T01:22:09Z,88336
2022-04-08T01:27:07Z,86592
2022-04-08T01:32:07Z,86697
2022-04-08T01:37:08Z,85170
2022-04-08T01:42:07Z,86794
2022-04-08T01:47:06Z,85961
2022-04-08T01:54:52Z,251130
2022-04-08T01:57:07Z,86920
2022-04-08T02:02:07Z,86393
2022-04-08T02:07:08Z,87208
2022-04-08T02:12:06Z,85828
2022-04-08T02:17:05Z,84916
2022-04-08T02:22:06Z,85031
2022-04-08T02:27:08Z,87431
2022-04-08T02:32:07Z,86916
2022-04-08T02:37:08Z,87188
2022-04-08T02:42:07Z,86081
2022-04-08T02:47:09Z,87967
2022-04-08T02:52:09Z,88257
2022-04-08T02:57:09Z,88237
2022-04-08T03:02:07Z,86703
2022-04-08T03:07:08Z,87847
2022-04-08T03:12:08Z,87543
2022-04-08T03:17:09Z,88032
2022-04-08T03:22:06Z,85718
2022-04-08T03:27:07Z,86513
2022-04-08T03:32:07Z,86025
2022-04-08T03:37:07Z,86570
2022-04-08T03:42:06Z,85710
2022-04-08T03:47:09Z,87744
2022-04-08T03:52:07Z,86517
2022-04-08T03:57:08Z,87634
2022-04-08T04:02:10Z,89066
2022-04-08T04:07:08Z,87166
2022-04-08T04:12:08Z,87530
2022-04-08T04:17:10Z,89330
2022-04-08T04:22:18Z,97886
2022-04-08T04:27:20Z,99201
2022-04-08T04:32:10Z,89882
2022-04-08T04:37:11Z,90034
2022-04-08T04:42:10Z,89318
2022-04-08T04:47:09Z,88618
2022-04-08T04:52:08Z,87874
2022-04-08T04:57:09Z,88488
2022-04-08T05:02:10Z,89074
2022-04-08T05:07:10Z,89742
2022-04-08T05:12:08Z,87991
2022-04-08T05:17:11Z,90325
2022-04-08T05:22:12Z,91590
2022-04-08T05:27:12Z,91077
2022-04-08T05:32:14Z,93068
2022-04-08T05:37:10Z,89098
2022-04-08T05:42:11Z,90910
2022-04-08T05:47:12Z,91012
2022-04-08T05:52:12Z,91819
2022-04-08T05:57:11Z,90255
2022-04-08T06:02:11Z,90645
2022-04-08T06:07:13Z,92851
2022-04-08T06:12:12Z,91064
2022-04-08T06:17:12Z,91875
2022-04-08T06:22:11Z,90915
2022-04-08T06:27:30Z,109232
2022-04-08T06:32:29Z,108663
2022-04-08T06:37:28Z,107711
2022-04-08T06:42:29Z,108744
2022-04-08T06:47:28Z,107021
2022-04-08T06:52:27Z,106639
2022-04-08T06:57:32Z,111537
2022-04-08T07:02:28Z,107360
2022-04-08T07:07:31Z,110492
2022-04-08T07:12:29Z,108840
2022-04-08T07:17:29Z,108586
2022-04-08T07:22:31Z,110398
2022-04-08T07:27:29Z,108496
2022-04-08T07:32:31Z,110136
2022-04-08T07:37:30Z,109356
2022-04-08T07:42:35Z,114384
2022-04-08T07:47:32Z,111167
2022-04-08T07:52:31Z,110697
2022-04-08T07:57:34Z,113258
2022-04-08T08:02:34Z,113186
2022-04-08T08:07:35Z,114266
2022-04-08T08:12:37Z,116290
2022-04-08T08:17:38Z,117924
2022-04-08T08:22:41Z,120171
2022-04-08T08:27:37Z,116747
2022-04-08T08:32:20Z,99921
2022-04-08T08:37:17Z,96627
2022-04-08T08:42:19Z,98293
2022-04-08T08:47:24Z,103414
2022-04-08T08:52:19Z,98650
2022-04-08T08:57:21Z,100384
2022-04-08T09:02:26Z,105456
2022-04-08T09:07:20Z,97743
2022-04-08T09:12:21Z,100586
2022-04-08T09:17:22Z,101176
2022-04-08T09:22:50Z,129160
2022-04-08T09:27:25Z,104524
2022-04-08T09:32:23Z,102967
2022-04-08T09:37:24Z,103378
2022-04-08T09:42:24Z,103048
2022-04-08T09:47:23Z,102230
2022-04-08T09:52:21Z,100219
2022-04-08T09:57:23Z,102645
2022-04-08T10:02:21Z,100553
2022-04-08T10:07:20Z,99354
2022-04-08T10:12:22Z,101011
2022-04-08T10:17:20Z,99058
